course_title,num_subscribers,course_type,course_level,subject,language,price_certification,institution
Nutrition and Health: Human Microbiome,44079,Self-paced,Introductory,Health & Safety,English,49.0,Wageningen University & Research
Customer Relationship Management,53085,Self-paced,Intermediate,Business & Management,English,50.0,Indian Institute of Management Bangalore
Islam Through Its Scriptures,65430,Self-paced,Introductory,Humanities,English,99.0,Harvard University
Mechatronics Revolution: Fundamentals and Core Concepts,11619,Self-paced,Introductory,Engineering,English,149.0,The Georgia Institute of Technology
Accounting for Decision-Making,57710,Self-paced,Intermediate,Business & Management,English,150.0,Indian Institute of Management Bangalore
C Programming: Language Foundations,46400,Self-paced,Introductory,Computer Science,English,49.0,Dartmouth_IMTx-Dartmouth College-IMT
Big Data sin misterios,65564,Self-paced,Intermediate,Data Analysis & Statistics,Español,25.0,Inter-American Development Bank
Becoming a Successful Leader (Inclusive Leadership Training),215705,Self-paced,Introductory,Communication,English,49.0,Catalyst
"English for Journalists, Part 1",50847,Self-paced,Intermediate,Communication,English,139.0,"University of California, Berkeley"
Introduction to Networking,16134,Self-paced,Introductory,Computer Science,English,150.0,New York University
Accounting Essentials,58463,Self-paced,Introductory,Business & Management,English,79.0,Imperial College Business School-Imperial College London
Introduction to Java Programming: Starting to code in Java,325554,Self-paced,Introductory,Computer Science,English,149.0,Universidad Carlos III de Madrid
European Paintings: From Leonardo to Rembrandt to Goya,60734,Self-paced,Introductory,Humanities,English,99.0,Universidad Carlos III de Madrid
Java Programming Fundamentals,12042,Self-paced,Intermediate,Engineering,English,49.0,Universidad Galileo
"Hollywood: History, Industry, Art",50033,Self-paced,Introductory,Communication,English,169.0,University of Pennsylvania
Data Science Tools,15627,Self-paced,Introductory,Data Analysis & Statistics,English,39.0,IBM
Statistical Thinking for Data Science and Analytics,198861,Self-paced,Introductory,Computer Science,English,99.0,Columbia University
Philosophy and Critical Thinking,97175,Self-paced,Introductory,Humanities,English,99.0,The University of Queensland
International Law,91868,Self-paced,Advanced,Law,English,150.0,Université catholique de Louvain
Tourism and Travel Management,38503,Self-paced,Introductory,Business & Management,English,5.0,The University of Queensland
Project Management Life Cycle,120019,Self-paced,Intermediate,Business & Management,English,150.0,Rochester Institute of Technology
Solar Energy,125069,Self-paced,Introductory,Engineering,English,50.0,Delft University of Technology
Public Speaking,10129,Self-paced,Introductory,Communication,English,199.0,Rochester Institute of Technology
Japanese Pronunciation for Communication,62757,Self-paced,Introductory,Communication,another language,99.0,Waseda University
Mindfulness and Resilience to Stress at Work,33414,Self-paced,Introductory,Business & Management,English,199.0,"University of California, Berkeley"
Framing Your Communication to Inspire and Convince,49351,Self-paced,Intermediate,Business & Management,English,125.0,Delft University of Technology
Business Foundations,55154,Self-paced,Introductory,Business & Management,English,150.0,University of British Columbia
The Chemistry of Life,78704,Self-paced,Introductory,Biology & Life Sciences,English,49.0,Kyoto University
Nutrition and Health: Micronutrients and Malnutrition,78266,Self-paced,Intermediate,Biology & Life Sciences,English,99.0,Wageningen University & Research
Digital Design,12339,Self-paced,Introductory,Design,English,50.0,The Hong Kong University of Science and Technology
Machine Learning for Data Science and Analytics,140419,Self-paced,Introductory,Computer Science,English,99.0,Columbia University
The Science of Everyday Thinking,318399,Self-paced,Introductory,Business & Management,English,99.0,The University of Queensland
Gestion de projets de développement,41663,Self-paced,Intermediate,Business & Management,another language,25.0,Inter-American Development Bank
Product Management Fundamentals,11913,Self-paced,Introductory,Business & Management,English,199.0,"The University of Maryland, College Park-University System of Maryland"
International Human Rights Law,74424,Self-paced,Advanced,Law,English,150.0,Université catholique de Louvain
The Best Start in Life: Early Childhood Development for Sustainable Development,23139,Self-paced,Intermediate,Education & Teacher Training,English,49.0,SDG Academy
Data Science and Machine Learning Capstone Project,21809,Self-paced,Intermediate,Data Analysis & Statistics,English,99.0,IBM
"Data Science for Construction, Architecture and Engineering",11113,Self-paced,Introductory,Data Analysis & Statistics,English,199.0,The National University of Singapore
"Nutrition, Heart Disease and Diabetes",24986,Self-paced,Intermediate,Food & Nutrition,English,99.0,Wageningen University & Research
Project Management for Development,62099,Self-paced,Intermediate,Business & Management,English,49.0,Inter-American Development Bank
Introduction to Cloud Infrastructure Technologies,86923,Self-paced,Introductory,Computer Science,English,169.0,The Linux Foundation
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",13566,Self-paced,Introductory,Art & Culture,English,65.0,Wageningen University & Research
Machine Learning,150855,Instructor-led,Advanced,Computer Science,English,249.0,Columbia University
Introducción a la gestión de proyectos,98517,Self-paced,Introductory,Business & Management,Español,50.0,Universitat Politècnica de Valencia
Free Cash Flow Analysis,36085,Self-paced,Introductory,Business & Management,English,225.0,Columbia University
Lean Production,55926,Self-paced,Introductory,Business & Management,English,99.0,Technische Universität München
Introduction to Algebra,131197,Self-paced,Introductory,Math,English,139.0,SchoolYourself
"LaTeX for Students, Engineers, and Scientists",11823,Self-paced,Introductory,Engineering,English,139.0,IITBombay
Leading With Effective Communication (Inclusive Leadership Training),107770,Self-paced,Introductory,Communication,English,50.0,Catalyst
Anatomy: Musculoskeletal and Integumentary Systems,51969,Self-paced,Introductory,Biology & Life Sciences,English,49.0,The University of Michigan
"Inglés empresarial: ventas, gestión y liderazgo",10897,Instructor-led,Introductory,Business & Management,English,49.0,Universidades Anáhuac
Business Strategy from Wharton: Competitive Advantage,26675,Self-paced,Intermediate,Business & Management,English,199.0,The Wharton School of the University of Pennsylvania
Inteligencia emocional para el liderazgo efectivo y colaboración,14726,Self-paced,Introductory,Social Sciences,Español,49.0,Universidades Anáhuac
Introducción al desarrollo de aplicaciones web,27757,Self-paced,Introductory,Computer Science,Español,49.0,Universidad Autónoma de Madrid
"Six Sigma: Analyze, Improve, Control",56016,Self-paced,Introductory,Business & Management,English,99.0,Technische Universität München
Introducción a la inteligencia emocional,18830,Self-paced,Introductory,Social Sciences,Español,49.0,Universidades Anáhuac
AP® Microeconomics,53664,Self-paced,Introductory,Economics & Finance,English,49.0,Massachusetts Institute of Technology
Engineering Calculus and Differential Equations,21535,Self-paced,Introductory,Math,English,50.0,University of Hong Kong
Linear Algebra - Foundations to Frontiers,88570,Self-paced,Intermediate,Computer Science,English,49.0,The University of Texas at Austin
Habilidades de negociación y comunicación efectiva,19614,Self-paced,Introductory,Business & Management,Español,149.0,Tecnológico de Monterrey
Effective Communication for Today's Leader,8862,Self-paced,Intermediate,Business & Management,English,149.0,Tecnológico de Monterrey
Electric Cars: Technology,40972,Self-paced,Intermediate,Engineering,English,50.0,Delft University of Technology
Site Planning Online,12948,Self-paced,Intermediate,Design,English,99.0,Massachusetts Institute of Technology
Macroeconometric Forecasting,69358,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
Administración pública y fiscal: cómo se gestiona un gobierno,49189,Self-paced,Introductory,Economics & Finance,Español,25.0,Inter-American Development Bank
Fundamentals of Red Hat Enterprise Linux,53788,Self-paced,Introductory,Computer Science,English,99.0,Red Hat
Algorithms,61722,Self-paced,Intermediate,Computer Science,English,149.0,IITBombay
Calculus Applied!,54976,Self-paced,Intermediate,Math,English,99.0,Harvard University
Precalculus,55576,Self-paced,Intermediate,Math,English,49.0,Arizona State University
Fundamentos de anatomía y técnica quirúrgica básica,12133,Instructor-led,Introductory,Medicine,Español,49.0,Universidad del Rosario
Business Communications,60713,Self-paced,Introductory,Business & Management,English,150.0,University of British Columbia
Italian Language and Culture: Intermediate (2019-2020),35058,Self-paced,Intermediate,Language,another language,49.0,Wellesley College
International Women's Health and Human Rights,9796,Self-paced,Introductory,Social Sciences,English,50.0,Stanford University
Blockchain: Understanding Its Uses and Implications,66769,Self-paced,Introductory,Business & Management,English,199.0,The Linux Foundation
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",22366,Self-paced,Intermediate,Math,English,49.0,Imperial College London
Blockchain Technology,55376,Self-paced,Intermediate,Computer Science,English,99.0,"University of California, Berkeley"
Basics of Power BI,8314,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Rolls-Royce
Preparing to Network in English,34337,Self-paced,Introductory,Language,English,149.0,University of Washington
Mandarin Chinese Essentials,36665,Self-paced,Introductory,Language,English,99.0,MandarinX
