course_title,num_subscribers,course_type,course_level,subject,language,price_certification,institution
Introducción a los circuitos eléctricos,11953,Self-paced,Intermediate,Electronics,Español,49.0,Universidad Galileo
AP® Physics 1: Challenging Concepts,12145,Self-paced,Introductory,Physics,English,49.0,Davidson Next
Introduction to Java Programming – Part 2,71203,Self-paced,Introductory,Computer Science,English,99.0,The Hong Kong University of Science and Technology
AP® Macroeconomics,29433,Self-paced,Introductory,Economics & Finance,English,49.0,Davidson Next
Climate Change Education,12056,Self-paced,Introductory,Education & Teacher Training,English,25.0,Inter-American Development Bank
"Introducción al griego clásico: verbos, oraciones y filosofía",52141,Self-paced,Introductory,Language,Español,49.0,Universidad Autónoma de Madrid
Applied Deep Learning Capstone Project,8429,Self-paced,Advanced,Data Analysis & Statistics,English,99.0,IBM
FinTech Ethics and Risks,10696,Self-paced,Introductory,Economics & Finance,English,199.0,University of Hong Kong
User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,23828,Self-paced,Advanced,Engineering,English,139.0,Tsinghua University
The Conquest of Space: Space Exploration and Rocket Science,19926,Self-paced,Introductory,Engineering,English,129.0,Universidad Carlos III de Madrid
Business Strategy and Operations in a Biobased Economy,34472,Self-paced,Advanced,Business & Management,English,149.0,Wageningen University & Research
What Works in Education: Evidence-Based Education Policies,5540,Self-paced,Introductory,Education & Teacher Training,English,25.0,Inter-American Development Bank
Electric Cars: Business,14199,Self-paced,Intermediate,Business & Management,English,50.0,Delft University of Technology
Thermodynamics of Materials,37826,Self-paced,Intermediate,Engineering,English,150.0,Massachusetts Institute of Technology
Mechanics: Momentum and Energy,14846,Self-paced,Intermediate,Physics,English,49.0,Massachusetts Institute of Technology
Co-Creating Sustainable Cities,12415,Self-paced,Advanced,Social Sciences,English,49.0,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University
Cómo educar teniendo en cuenta la muerte,52141,Self-paced,Introductory,Education & Teacher Training,Español,49.0,Universidad Autónoma de Madrid
Introduction to Animal Ethics,6608,Self-paced,Introductory,Philosophy & Ethics,English,49.0,Kyoto University
Teamwork & Collaboration,52141,Self-paced,Introductory,Communication,English,199.0,Rochester Institute of Technology
Grant Writing and Crowdfunding for Public Libraries,12853,Self-paced,Introductory,Humanities,English,49.0,The University of Michigan
Leading Ambitious Teaching and Learning,24273,Self-paced,Advanced,Education & Teacher Training,English,199.0,The University of Michigan-Microsoft Education
Financing Innovative Ventures,52141,Self-paced,Introductory,Business & Management,English,149.0,"The University of Maryland, College Park-University System of Maryland"
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",37826,Self-paced,Intermediate,Math,English,49.0,Imperial College London
Theories of Media and Technology,52141,Instructor-led,Introductory,Art & Culture,English,249.0,New York University
Introducción a la Estructura de la Materia,11859,Self-paced,Introductory,Chemistry,Español,25.0,Universitat Politècnica de Valencia
"Batteries, Fuel Cells, and their Role in Modern Society",11865,Self-paced,Introductory,Science,English,49.0,Ural Federal University
Communication Skills for Dialoguing Across Difference,60943,Self-paced,Introductory,Communication,English,25.0,Catalyst
Social Media: How Media Got Social,13616,Self-paced,Introductory,Communication,English,139.0,Curtin University
"Portfolio Management, Governance, & the PMO",17299,Self-paced,Introductory,Business & Management,English,199.0,University of Washington
edX101: Overview of Creating an edX Course,22327,Self-paced,Introductory,Education & Teacher Training,English,99.0,edX
"Soy docente, ¡qué miedo! Gestiona eficazmente tus emociones",52141,Self-paced,Introductory,Education & Teacher Training,Español,49.0,Universidad Autónoma de Madrid
Data Analysis for Decision Making,8342,Instructor-led,Advanced,Business & Management,English,214.0,"The University of Maryland, College Park-University System of Maryland"
UML Class Diagrams for Software Engineering,33710,Self-paced,Introductory,Computer Science,English,49.0,KU Leuven University
Driving Digital Innovation through Experimentation,16904,Instructor-led,Advanced,Computer Science,English,399.0,Boston University
Compilation Basics for Macroeconomic Statistics,6570,Self-paced,Introductory,Data Analysis & Statistics,English,25.0,The International Monetary Fund
Seguridad Vial en América Latina y el Caribe: de la teoría a la acción,20189,Self-paced,Introductory,Engineering,Español,25.0,Inter-American Development Bank
From Fossil Resources to Biomass: A Chemistry Perspective,5464,Self-paced,Advanced,Energy & Earth Sciences,English,149.0,Wageningen University & Research
System Dynamics for Health Sciences,15157,Self-paced,Intermediate,Medicine,English,139.0,Wits University
Internet de las cosas (IoT) y Big Data,37826,Self-paced,Intermediate,Data Analysis & Statistics,Español,49.0,Universidad del Rosario
Introducción a Ciencias de Datos y Estadística Básica para Negocios,34472,Self-paced,Advanced,Data Analysis & Statistics,Español,49.99,Tecnológico de Monterrey
Introduction to Psychological Research Methods,17087,Self-paced,Introductory,Humanities,English,99.0,The University of Queensland
Sustainable Packaging in a Circular Economy,6277,Self-paced,Intermediate,Design,English,50.0,Delft University of Technology
Design in Healthcare: Using Patient Journey Mapping,17946,Self-paced,Introductory,Design,English,129.0,Delft University of Technology
"El manejo de plagas, malezas y enfermedades en los Sistemas de Siembra Directa",37826,Self-paced,Intermediate,Biology & Life Sciences,Español,99.0,Universidad Nacional de Córdoba
"Electronic, Optical, and Magnetic Properties of Materials",9717,Instructor-led,Advanced,Engineering,English,150.0,Massachusetts Institute of Technology
La España del Quijote,13277,Self-paced,Introductory,History,Español,19.0,Universidad Autónoma de Madrid
Risk Management for Projects,22269,Self-paced,Introductory,Business & Management,English,199.0,University of Adelaide
Smithsonian’s Objects That Define America,9071,Self-paced,Introductory,Humanities,English,50.0,The Smithsonian Institution
Creating Modern China: The Republican Period to the Present,43045,Self-paced,Introductory,History,English,139.0,Harvard University
Discover Political Science,6573,Instructor-led,Intermediate,Social Sciences,English,50.0,Université catholique de Louvain
Data Science: Inferential Thinking through Simulations,17505,Self-paced,Introductory,Computer Science,English,199.0,"University of California, Berkeley"
Programming for Data Science,41268,Self-paced,Introductory,Computer Science,English,199.0,University of Adelaide
Public Sector Debt Statistics,37826,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
Sensor Fusion and Non-linear Filtering for Automotive Systems,9709,Instructor-led,Advanced,Engineering,English,299.0,Chalmers University of Technology
Creación musical con Soundcool: Introducción,52141,Self-paced,Introductory,Music,Español,30.0,Universitat Politècnica de Valencia
First Nights - Berlioz’s Symphonie Fantastique and Program Music in the 19th Century,8222,Self-paced,Introductory,Humanities,English,49.0,Harvard University
The Quantum Internet and Quantum Computers: How Will They Change the World?,15014,Self-paced,Introductory,Science,English,50.0,Delft University of Technology
Research Methods: An Engineering Approach,20444,Self-paced,Introductory,Engineering,English,169.0,Wits University
Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas,15349,Self-paced,Introductory,Philosophy & Ethics,Español,49.0,Universidad Autónoma de Madrid
Rise to Leadership: Become a CEO,16719,Self-paced,Intermediate,Business & Management,English,199.0,Babson College
Building a Cybersecurity Toolkit,23275,Self-paced,Introductory,Computer Science,English,199.0,University of Washington
Marketing your Android apps,37826,Self-paced,Intermediate,Engineering,English,49.0,Universidad Galileo
Embedded Systems Essentials with Arm: Getting Started,37826,Self-paced,Intermediate,Computer Science,English,149.0,Arm Education
Life with Diabetes,12318,Self-paced,Introductory,Medicine,English,139.0,Curtin University
Human Reproduction,5517,Self-paced,Intermediate,Biology & Life Sciences,English,169.0,University of Adelaide
Enabling Technologies for Data Science and Analytics: The Internet of Things,71290,Self-paced,Introductory,Computer Science,English,99.0,Columbia University
Astrophysics: Exploring Exoplanets,48539,Self-paced,Intermediate,Physics,English,50.0,Australian National University
Unconventional Reservoir Geomechanics,52141,Self-paced,Introductory,Energy & Earth Sciences,English,129.0,Stanford University
Strategic Account Management,52141,Self-paced,Introductory,Business & Management,English,149.0,Queen’s University
PyTorch Basics for Machine Learning,52141,Self-paced,Introductory,Data Analysis & Statistics,English,39.0,IBM
Diseño y Desarrollo de Recursos Multimedia para la Enseñanza Virtual,14266,Self-paced,Intermediate,Humanities,Español,49.0,Universidad Galileo
Introduction to Cloud Foundry and Cloud Native Software Architecture,24444,Self-paced,Introductory,Computer Science,English,169.0,The Linux Foundation
Gestión de compras eficientes para tu empresa,52141,Self-paced,Introductory,Engineering,Español,25.0,LOGYCA
Know HBV And HCV,52141,Self-paced,Introductory,Medicine,English,50.0,Stanford University
The Supreme Court & American Politics,6216,Self-paced,Introductory,Law,English,29.0,University of Baltimore-University System of Maryland
Sales Enablement & Analytics,52141,Self-paced,Introductory,Business & Management,English,149.0,Queen’s University
Inversión Extranjera como Motor del Desarrollo para América Latina y el Caribe,16423,Self-paced,Intermediate,Business & Management,Español,25.0,Inter-American Development Bank
Liderazgo en la empresa familiar,10969,Self-paced,Intermediate,Business & Management,Español,49.0,Tecnológico de Monterrey
Comparative Political Systems,6934,Self-paced,Introductory,Social Sciences,English,59.0,Università degli Studi di Napoli Federico II
Introducción al Derecho en la vida cotidiana,52141,Self-paced,Introductory,Law,Español,49.0,Universidad Autónoma de Madrid
Cloud Computing for Enterprises,27241,Instructor-led,Intermediate,Computer Science,English,299.0,University System of Maryland-University of Maryland Global Campus
Diversity and Social Justice in Social Work,11055,Self-paced,Advanced,Social Sciences,English,199.0,The University of Michigan
Public Library Marketing and Public Relations,7525,Self-paced,Introductory,Humanities,English,49.0,The University of Michigan
"Healthcare Finance, Economics and Risk",8006,Self-paced,Intermediate,Economics & Finance,English,199.0,Doane University
Reacciones Químicas y Cálculos Estequiométricos,8907,Self-paced,Introductory,Chemistry,Español,49.0,Universitat Politècnica de Valencia
Seeking Women’s Rights: Colonial Period to the Civil War,5157,Self-paced,Intermediate,History,English,50.0,Columbia University
VideoX: Creating Video for the edX Platform,12159,Self-paced,Introductory,Education & Teacher Training,English,99.0,edX
Comisión de la Verdad Colombia,52141,Self-paced,Introductory,History,Español,29.0,Pontificia Universidad Javeriana
MathTrackX: Probability,52141,Self-paced,Introductory,Math,English,79.0,University of Adelaide
Health Informatics for better and safer healthcare,52141,Self-paced,Introductory,Health & Safety,English,49.0,IsraelX
Sign Language Science: Factors Contributing to Natural Change,52141,Self-paced,Introductory,Language,English,99.0,Georgetown University
Accounting System Structure and Information Management,52141,Self-paced,Introductory,Economics & Finance,English,50.0,NYIF
Sustainable Development: The Post-Capitalist Order,7031,Self-paced,Introductory,Economics & Finance,English,49.0,SDG Academy
"Health Law, Policy, and Advocacy",6358,Self-paced,Intermediate,Law,English,199.0,Doane University
Introduction to Haptics,52141,Self-paced,Introductory,Engineering,English,129.0,Stanford University
Gestión de inventario y portafolio,52141,Self-paced,Introductory,Engineering,Español,25.0,LOGYCA
Understanding Nuclear Energy,16015,Self-paced,Intermediate,Engineering,English,50.0,Delft University of Technology
Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),11431,Self-paced,Introductory,Business & Management,Español,50.0,Catalyst
Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,52141,Self-paced,Introductory,Business & Management,English,50.0,Delft University of Technology
AP® Calculus BC,8542,Self-paced,Introductory,Math,English,49.0,Davidson Next
Advanced Linear Algebra: Foundations to Frontiers,34472,Self-paced,Advanced,Computer Science,English,49.0,The University of Texas at Austin
Entrepreneurial Opportunities,27182,Self-paced,Introductory,Business & Management,English,50.0,University of Adelaide
Agua en América Latina: Abundancia en medio de la escasez mundial,38581,Self-paced,Introductory,Environmental Studies,Español,25.0,Inter-American Development Bank
Understanding Political Concepts,7421,Self-paced,Introductory,Social Sciences,English,59.0,Università degli Studi di Napoli Federico II
How to Code: Complex Data,34190,Self-paced,Introductory,Computer Science,English,125.0,University of British Columbia
Hypersonics – from Shock Waves to Scramjets,19043,Self-paced,Advanced,Engineering,English,99.0,The University of Queensland
Micro and Nanofabrication (MEMS),16094,Self-paced,Advanced,Engineering,English,199.0,École polytechnique fédérale de Lausanne
Scientific Methods and Research,7501,Self-paced,Intermediate,Science,English,49.0,Ural Federal University
Customer Centric Marketing for Entrepreneurs,14003,Self-paced,Intermediate,Business & Management,English,149.0,Babson College
Dog Behavior: Problems and Solutions,16467,Self-paced,Intermediate,Social Sciences,English,169.0,Arizona State University
The Business of Mining,20406,Self-paced,Introductory,Business & Management,English,139.0,Curtin University
"Social Work Practice in Community Organization, Management and Policy/Evaluation",9522,Self-paced,Advanced,Social Sciences,English,199.0,The University of Michigan
The Business of Aging in the Longevity Economy,52141,Self-paced,Introductory,Social Sciences,English,139.0,Georgetown University
Understanding the Australian Health Care System,8343,Self-paced,Introductory,Medicine,English,59.0,The University of Queensland
Age of Sustainable Development,10019,Self-paced,Intermediate,Social Sciences,English,49.0,SDG Academy
Internationalization: Creating Digital Content for the World,34472,Self-paced,Advanced,Computer Science,English,199.0,University of Washington
Multi-Object Tracking for Automotive Systems,8581,Instructor-led,Advanced,Engineering,English,249.0,Chalmers University of Technology
Economics and Policies in a Biobased Economy,34472,Self-paced,Advanced,Energy & Earth Sciences,English,149.0,Wageningen University & Research
Strategic Leadership in Healthcare,6237,Self-paced,Intermediate,Business & Management,English,199.0,Doane University
Terrorism and Counterterrorism: An Introduction,14128,Self-paced,Introductory,Humanities,English,49.0,Georgetown University
Exploring Psychology's Core Concepts|走进心理学,5741,Self-paced,Introductory,Social Sciences,English,139.0,Tsinghua University
Creating Virtual Reality (VR) Apps,22349,Self-paced,Intermediate,Computer Science,English,99.0,"The University of California, San Diego"
Análisis Multivariable en SPSS,52141,Self-paced,Introductory,Data Analysis & Statistics,Español,49.0,Universidad Galileo
Steps in Japanese for Beginners2 Part1,52141,Self-paced,Introductory,Language,English,99.0,Waseda University
"Competencias para buscar, mantener y promocionar en un empleo",52141,Self-paced,Introductory,Social Sciences,Español,49.0,Universidad Autónoma de Madrid
Dynamics and Control,27763,Self-paced,Introductory,Engineering,English,50.0,Universitat Politècnica de Valencia
Finding Your Cybersecurity Career Path,19283,Self-paced,Introductory,Computer Science,English,199.0,University of Washington
Introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,12674,Self-paced,Introductory,Humanities,Español,29.0,Universidad Carlos III de Madrid
Mechanics: Rotational Dynamics,13183,Self-paced,Intermediate,Physics,English,49.0,Massachusetts Institute of Technology
Applying Health Coaching in Patient Care,52141,Self-paced,Introductory,Medicine,English,199.0,Doane University
Databases: Modeling and Theory,52141,Self-paced,Introductory,Computer Science,English,50.0,Stanford University
"Islamic Banking: Principles, Practice and Risk Management",52141,Self-paced,Introductory,Economics & Finance,English,49.0,The Islamic Research and Training Institute
Liderazgo orientado al florecimiento humano,7911,Self-paced,Introductory,Business & Management,Español,149.0,Tecnológico de Monterrey
Software Construction: Object-Oriented Design,23100,Self-paced,Intermediate,Computer Science,English,125.0,University of British Columbia
"Introduction to Hyperledger Sovereign Identity Blockchain Solutions: Indy, Aries & Ursa",52141,Self-paced,Introductory,Computer Science,English,199.0,The Linux Foundation
Fondements de l’économie sociale et solidaire,37826,Instructor-led,Intermediate,Social Sciences,another language,50.0,Université catholique de Louvain
The Civil War and Reconstruction - 1861 - 1865: A New Birth of Freedom,17941,Self-paced,Introductory,History,English,50.0,Columbia University
Innovation Strategies for Electric Mobility: The StreetScooter Case,37826,Self-paced,Intermediate,Business & Management,English,99.0,RWTH Aachen University
Sustainable Energy,34472,Instructor-led,Advanced,Energy & Earth Sciences,English,149.0,Massachusetts Institute of Technology
Designing and Leading Learning Systems,11895,Self-paced,Advanced,Education & Teacher Training,English,199.0,The University of Michigan
How the U.S. Government Works & How to Get Involved,5930,Self-paced,Introductory,Social Sciences,English,49.0,Georgetown University
Inspiring and Motivating Arts and Culture Teams,10817,Self-paced,Introductory,Business & Management,English,49.0,The University of Michigan
Principles of Microeconomics: An Economist Way of Thinking,37826,Self-paced,Intermediate,Economics & Finance,English,149.0,The University of Queensland
A System View of Communications: From Signals to Packets (Part 1),34261,Self-paced,Introductory,Computer Science,English,60.0,The Hong Kong University of Science and Technology
"Invasions, Rebellions, and the Fall of Imperial China",41537,Self-paced,Introductory,History,English,139.0,Harvard University
AP® English Literature & Composition – Part 3: Plays,6443,Self-paced,Introductory,Humanities,English,49.0,"University of California, Berkeley"
Cómo implantar grupos de mejora de procesos,28100,Self-paced,Introductory,Business & Management,Español,150.0,Universitat Politècnica de Valencia
Proteins: Biology's Workforce,25893,Self-paced,Intermediate,Biology & Life Sciences,English,169.0,Rice University
Introducción a los ritmos y relojes biológicos,6149,Self-paced,Introductory,Science,Español,50.0,Universidad Nacional de Córdoba
Linear Algebra I: Linear Equations,37826,Self-paced,Intermediate,Math,English,199.0,The Georgia Institute of Technology
"Fundamentals of Biomedical Imaging: Ultrasounds, X-ray, positron emission tomography (PET) and applications",10205,Self-paced,Advanced,Engineering,English,169.0,École polytechnique fédérale de Lausanne
Fundamentos de Electromagnetismo para Ingeniería,15040,Self-paced,Introductory,Physics,Español,49.0,Universitat Politècnica de Valencia
Sustainable Food Systems: A Mediterranean Perspective,6480,Self-paced,Intermediate,Food & Nutrition,English,49.0,SDG Academy
Scripting and Programming Foundations,52141,Self-paced,Introductory,Computer Science,English,299.7,Western Governors University
Using GPUs to Scale and Speed-up Deep Learning,9294,Self-paced,Intermediate,Data Analysis & Statistics,English,99.0,IBM
StudioX: Creating a Course with edX Studio,20355,Self-paced,Introductory,Education & Teacher Training,English,99.0,edX
The Power of Data,52141,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Rolls-Royce
Introducción a las ondas gravitacionales,8657,Self-paced,Introductory,Science,Español,50.0,Universidad Nacional de Córdoba
Drones and Autonomous Systems 2: Applications in Emergency Management,37826,Self-paced,Intermediate,Science,English,149.0,University of Maryland Global Campus-University System of Maryland
MathTrackX: Differential Calculus,52141,Self-paced,Introductory,Math,English,79.0,University of Adelaide
Global China: From the Mongols to the Ming,41902,Self-paced,Introductory,History,English,139.0,Harvard University
Leaders in Citizen Security and Justice Management for the Caribbean,37826,Self-paced,Intermediate,Social Sciences,English,25.0,Inter-American Development Bank
Pattern Studying and Making | 图案审美与创作,52141,Self-paced,Introductory,Art & Culture,another language,139.0,Tsinghua University
Computational Neuroscience: Neuronal Dynamics of Cognition,11246,Self-paced,Advanced,Biology & Life Sciences,English,139.0,École polytechnique fédérale de Lausanne
Cities and the Challenge of Sustainable Development,8775,Self-paced,Introductory,Environmental Studies,English,25.0,SDG Academy
MathTrackX: Special Functions,52141,Self-paced,Introductory,Math,English,79.0,University of Adelaide
