course_title,institution,course_id
Access Controls,(ISC)²,access-control-sscp
Engineering Project Management: Initiating and Planning,Rice University,initiating-planning
Kotlin for Java Developers,JetBrains,kotlin-for-java-developers
Mathematics for Machine Learning: Multivariate Calculus,Imperial College London,multivariate-calculus-machine-learning
Introduction to Git and GitHub,Google,introduction-git-github
Industrial Biotechnology,University of Manchester   ,industrial-biotech
The Addicted Brain,Emory University,addiction-and-the-brain
Introducción a la programación en Python I: Aprendiendo a programar con Python,Pontificia Universidad Católica de Chile,aprendiendo-programar-python
Modernizing Data Lakes and Data Warehouses with GCP,Google Cloud,data-lakes-data-warehouses-gcp
Drug Discovery,University of California San Diego,drug-discovery
Nutrition and Lifestyle in Pregnancy,Ludwig-Maximilians-Universität München (LMU),nutrition-pregnancy
Financial Acumen for Non-Financial Managers,University of Pennsylvania,finance-healthcare-managers
Python and Statistics for Financial Analysis,The Hong Kong University of Science and Technology,python-statistics-financial-analysis
Bugs 101: Insect-Human Interactions,University of Alberta,bugs-101
Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,autodesk-revit-architectural-design
"Leading for Equity, Diversity and Inclusion in Higher Education",University of Michigan,leading-for-equity-diversity-inclusion
Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,enterprise-architecture
Introduction to Spreadsheets and Models,University of Pennsylvania,wharton-introduction-spreadsheets-models
The Arts and Science of Relationships: Understanding Human Needs,University of Toronto,human-needs
Essentials in Clinical Simulations Across the Health Professions,The George Washington University,clinicalsimulations
Budgeting and Scheduling Projects,"University of California, Irvine",schedule-projects
Machine Learning for Business Professionals,Google Cloud,machine-learning-business-professionals
Introduction to Accounting Data Analytics and Visualization,University of Illinois at Urbana-Champaign,intro-accounting-data-analytics-visual
Spanish Vocabulary: Meeting People,"University of California, Davis",spanish-vocabulary-meeting-people
Gestión Empresarial Exitosa para Pymes,Pontificia Universidad Católica de Chile,gestionempresarialpyme
Public Policy Challenges of the 21st Century,University of Virginia,public-policy
International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,arbitration-international-disputes
Introduction to Ancient Egypt and Its Civilization,University of Pennsylvania,introancientegypt
Financing and Investing in Infrastructure,Università Bocconi,infrastructure-investing
Global Environmental Management,Technical University of Denmark (DTU),global-environmental-management
Operations Analytics,University of Pennsylvania,wharton-operations-analytics
Entrepreneurship Strategy: From Ideation to Exit,HEC Paris,entrepreneurship-strategy
FinTech Law and Policy,Duke University,fintechlawandpolicy
The Social Context of Mental Health and Illness,University of Toronto,mental-health
What Is Contemporary Art?,The Museum of Modern Art,contemporary-art
The Art of Music Production,Berklee College of Music,producing-music
Biohacking Your Brain's Health,Emory University,biohacking-your-brains-health
Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",bayesian-statistics
Reporting extra-financier et stratégie RSE,ESSEC Business School,reporting-extra-financier-strategie-rse
Leading Healthcare Quality and Safety,The George Washington University,quality-healthcare
Understanding International Relations Theory,National Research University Higher School of Economics,international-relations-theory
Introduction to Data Analytics,IBM,introduction-to-data-analytics
Fundamentos de Excel para Negocios,Universidad Austral,excel-para-negocios
Elastic Google Cloud Infrastructure: Scaling and Automation,Google Cloud,gcp-infrastructure-scaling-automation
Cultural Competence - Aboriginal Sydney,The University of Sydney,cultural-competence-aboriginal-sydney
Fundamentos de Finanzas Empresariales,Universidad de los Andes,finanzas-empresariales
Greening the Economy: Sustainable Cities,Lund University,gte-sustainable-cities
Introduction to Engineering Mechanics,Georgia Institute of Technology,engineering-mechanics-statics
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,design-strategy
Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,bioinformatics
Understanding Medical Research: Your Facebook Friend is Wrong,Yale University,medical-research
Health Behavior Change: From Evidence to Action,Yale University,health-behavior-change
Ordered Data Structures,University of Illinois at Urbana-Champaign,cs-fundamentals-2
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,McMaster University,mindshift
Programming Fundamentals,Duke University,programming-fundamentals
Understanding Financial Markets,University of Geneva,understanding-financial-markets
In the Studio: Postwar Abstract Painting,The Museum of Modern Art,painting
Drug Commercialization,University of California San Diego,drug-commercialization
Introduction to Software Product Management,University of Alberta,introduction-to-software-product-management
"Social Norms, Social Change I",Unicef,norms
Excel Skills for Business: Intermediate II,Macquarie University,excel-intermediate-2
Aboriginal Worldviews and Education,University of Toronto,aboriginal-education
"Information Systems Auditing, Controls and Assurance",The Hong Kong University of Science and Technology,information-systems-audit
Six Sigma Principles,University System of Georgia,six-sigma-principles
Business Writing,University of Colorado Boulder,writing-for-business
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,autodesk-autocad-design-drafting
Introduction to Typography,California Institute of the Arts,typography
Customer Segmentation and Prospecting,Northwestern University,customer-segmentation-prospecting
Claves para Gestionar Personas,IESE Business School,gestionar-personas
English for Journalism,University of Pennsylvania,journalism
How Things Work: An Introduction to Physics,University of Virginia,how-things-work
Business English: Networking,University of Washington,business-english-intro
Summary Statistics in Public Health,Johns Hopkins University,summary-statistics
Global Energy and Climate Policy,University of London,globalenergyandclimatepolicy
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,Universidad Austral,legaltech
Probability and Statistics: To p or not to p?,University of London,probability-statistics
Gut Check: Exploring Your Microbiome,University of Colorado Boulder,microbiome
Econometrics: Methods and Applications,Erasmus University Rotterdam,erasmus-econometrics
Разработка веб-сервисов на Go - основы языка,Moscow Institute of Physics and Technology,golang-webservices-1
Mastering Data Analysis in Excel,Duke University,analytics-excel
